,City,Lat,Lng,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date
0,Khatanga,71.97,102.5,0.37,87,0,12.08,RU,1603975600
1,Chernyshevskiy,63.01,112.47,7.09,88,100,11.97,RU,1603975600
2,Mossamedes,-15.2,12.15,75.29,71,5,14.74,AO,1603975600
3,Vaini,-21.2,-175.2,68.0,77,20,5.82,TO,1603975601
4,Mar del Plata,-38.0,-57.56,55.4,62,75,16.11,AR,1603975559
5,Yellowknife,62.46,-114.35,16.0,85,90,8.05,CA,1603975562
6,Ushuaia,-54.8,-68.3,42.8,93,90,9.17,AR,1603975601
7,Zelenoborsk,61.47,64.03,39.42,85,95,14.14,RU,1603975601
8,Rikitea,-23.12,-134.97,74.32,73,100,9.37,PF,1603975601
9,Carnarvon,-24.87,113.63,71.6,94,0,10.29,AU,1603975601
10,Puerto Ayora,-0.74,-90.35,66.99,98,99,5.99,EC,1603975601
11,Kaniama,-7.57,24.18,79.25,78,100,2.39,CD,1603975601
12,Iqaluit,63.75,-68.51,15.8,66,90,4.7,CA,1603975602
13,Severo-Kuril'sk,50.68,156.12,42.17,83,95,7.27,RU,1603975602
14,Albany,42.6,-73.97,44.01,90,100,1.07,US,1603975602
15,Āsosa,10.07,34.53,76.08,74,82,1.59,ET,1603975602
16,Holme,56.11,10.17,52.0,93,23,5.82,DK,1603975602
17,Leh,34.17,77.58,34.09,59,57,4.07,IN,1603975423
18,Saint Paul Harbor,57.79,-152.41,37.4,64,90,10.29,US,1603975603
19,Hermanus,-34.42,19.23,57.0,76,97,5.01,ZA,1603975603
20,Lorengau,-2.02,147.27,81.9,76,100,4.94,PG,1603975603
21,Bathsheba,13.22,-59.52,78.8,88,75,27.51,BB,1603975603
22,Ponta do Sol,32.67,-17.1,71.6,68,40,12.75,PT,1603975603
23,Rome,43.21,-75.46,42.01,93,20,3.76,US,1603975604
24,Castro,-24.79,-50.01,76.26,41,100,3.15,BR,1603975604
25,Lebu,-37.62,-73.65,50.85,64,0,21.88,CL,1603975604
26,Krasnyy Oktyabr',56.12,38.88,45.19,73,0,6.76,RU,1603975604
27,Zaria,11.11,7.72,91.67,18,0,11.05,NG,1603975604
28,Ishigaki,24.34,124.16,77.92,79,66,20.74,JP,1603975604
29,Barrow,71.29,-156.79,6.8,84,40,12.75,US,1603975605
30,Cape Town,-33.93,18.42,64.99,54,75,10.29,ZA,1603975605
31,The Valley,18.22,-63.06,82.4,83,20,10.29,AI,1603975605
32,Atuona,-9.8,-139.03,77.23,72,0,19.46,PF,1603975605
33,Tiksi,71.69,128.87,3.51,93,99,10.54,RU,1603975605
34,Okhotsk,59.38,143.3,28.22,93,100,5.3,RU,1603975605
35,Cayenne,4.93,-52.33,86.0,79,40,3.36,GF,1603975606
36,Norman Wells,65.28,-126.83,14.0,92,75,3.36,CA,1603975606
37,Rocha,-34.48,-54.33,61.77,59,0,13.53,UY,1603975606
38,Hearst,49.68,-83.67,17.6,67,0,3.36,CA,1603975606
